time_span,review_count,average_rating,category
Span Before,239,4.075313807531381,AMAZON_FASHION
Span After,407,4.115479115479116,AMAZON_FASHION
Span Before,450,4.0377777777777775,All_Beauty
Span After,743,4.1305518169582776,All_Beauty
Span Before,117,3.427350427350427,Appliances
Span After,187,3.4545454545454546,Appliances
Span Before,220,3.95,Arts_Crafts_and_Sewing
Span After,380,3.9105263157894736,Arts_Crafts_and_Sewing
Span Before,1266,3.9454976303317535,Automotive
Span After,1958,4.024514811031665,Automotive
Span Before,115826,4.219803843696579,Books
Span After,134265,4.232838044166387,Books
Span Before,30097,4.3360467820713025,CDs_and_Vinyl
Span After,31828,4.3591491768254365,CDs_and_Vinyl
Span Before,2061,3.5657447840853953,Cell_Phones_and_Accessories
Span After,2992,3.634692513368984,Cell_Phones_and_Accessories
Span Before,5329,4.113154437980859,Clothing_Shoes_and_Jewelry
Span After,10178,4.217626252701906,Clothing_Shoes_and_Jewelry
Span Before,1516,4.470976253298153,Digital_Music
Span After,1953,4.4644137224782385,Digital_Music
Span After,48412,3.955424274973147,Electronics
Span Before,28502,3.9354431267981194,Electronics
Span After,4002,4.305847076461769,Grocery_and_Gourmet_Food
Span Before,3057,4.298004579653255,Grocery_and_Gourmet_Food
Span Before,10604,3.9666163711806863,Home_and_Kitchen
Span After,18612,4.001343219428326,Home_and_Kitchen
Span Before,373,4.093833780160858,Industrial_and_Scientific
Span After,627,4.208931419457735,Industrial_and_Scientific
Span After,1082,4.0924214417744915,Kindle_Store
Span Before,660,4.143939393939394,Kindle_Store
Span Before,165,4.315151515151515,Luxury_Beauty
Span After,261,4.340996168582375,Luxury_Beauty
Span After,402,3.855721393034826,Magazine_Subscriptions
Span Before,202,3.623762376237624,Magazine_Subscriptions
Span Before,23624,4.137233322045377,Movies_and_TV
Span After,34609,4.155797624895259,Movies_and_TV
Span Before,798,3.991228070175439,Musical_Instruments
Span After,1352,4.0828402366863905,Musical_Instruments
Span Before,4035,3.7997521685254028,Office_Products
Span After,5581,3.856656513169683,Office_Products
Span Before,1696,4.013561320754717,Patio_Lawn_and_Garden
Span After,2080,4.011057692307692,Patio_Lawn_and_Garden
Span Before,2420,4.066115702479339,Pet_Supplies
Span After,3300,4.0590909090909095,Pet_Supplies
Span Before,32,4.71875,Prime_Pantry
Span After,24,4.291666666666667,Prime_Pantry
Span Before,2126,3.3212605832549387,Software
Span After,3030,3.2943894389438944,Software
Span Before,4027,4.076980382418674,Sports_and_Outdoors
Span After,6926,4.078544614496102,Sports_and_Outdoors
Span Before,3651,4.023007395234182,Tools_and_Home_Improvement
Span After,5158,4.035866614967041,Tools_and_Home_Improvement
Span After,14283,4.027795281103409,Toys_and_Games
Span Before,4320,4.096064814814815,Toys_and_Games
Span After,11989,3.990658103261323,Video_Games
Span Before,7117,3.9280595756639034,Video_Games
